,Year,Country ISO,GDP (current USD),GDP (2015 USD),GDP/capita (current USD),GDP/capita (2015 USD),GDP % annual growth,GDP/capita (2021 PPP),GDP deflator,Exchange rate
0,1960,ABW,,,,,,,,
1,1960,AFG,,,,,,,,17.1965606878624
2,1960,AGO,,,,,,,,2.86684433333333e-08
3,1960,AIA,,,,,,,,
4,1960,ALB,,,,,,,,
5,1960,AND,,,,,,,,
6,1960,ARE,,,,,,,,
7,1960,ARG,,150797810295.884,,7397.10965495682,,,7.188950530775119e-11,
8,1960,ARM,,,,,,,,
9,1960,ASM,,,,,,,,1.0
10,1960,ATG,,,,,,,,1.71429000071429
11,1960,AUS,18607682977.2293,204556496020.616,1810.7064295701,19905.3134669222,,,5.19348173341127,0.892856999892857
12,1960,AUT,6624086313.14334,83828672830.7266,939.914814681174,11894.7440845275,,,16.5657534609199,26.000000025
13,1960,AZE,,,,,,,,
14,1960,BDI,195999989.80792,798536036.456817,70.9050999609733,288.878981794325,,,2.21203716343248,50.000000049
15,1960,BEL,11810619368.3874,107240692463.798,1290.28607216192,11715.8268791057,,,15.1453949169271,50.000000049
16,1960,BEN,226195578.434497,1651120631.20701,89.8569246539715,655.913007583172,,,5.68164477289672,245.195101398359
17,1960,BES,,,,,,,,
18,1960,BFA,330442815.821186,1166782785.98608,69.1502456087615,244.167257873365,,,11.7455963346818,245.195101398359
19,1960,BGD,4274894083.33333,22255159273.9147,82.4812774116354,429.398700910166,,,0.928434133086633,
20,1960,BGR,,,,,,,,0.001169999999
21,1960,BHR,,,,,,,,
22,1960,BHS,169735993.889504,2185539618.29717,1459.25353894533,18789.5115786787,,,7.66095352856035,1.02041
23,1960,BIH,,,,,,,,
24,1960,BLR,,,,,,,,
25,1960,BLZ,28072478.0724781,141975428.530253,307.414508338751,1554.73650901524,,,14.0803775509456,1.42857000042857
26,1960,BMU,72400000.0,1684353374.14037,1715.31463229719,39906.0219422945,,,4.55855907196653,0.85714
