,Origin ISO,Destination ISO,colony_of_destination_ever
0,ABW,ABW,0.0
1,ABW,AFG,0.0
2,ABW,AGO,0.0
3,ABW,AIA,0.0
4,ABW,ALB,0.0
5,ABW,AND,0.0
6,ABW,ARE,0.0
7,ABW,ARG,0.0
8,ABW,ARM,0.0
9,ABW,ASM,0.0
10,ABW,ATG,0.0
11,ABW,AUS,0.0
12,ABW,AUT,0.0
13,ABW,AZE,0.0
14,ABW,BDI,0.0
15,ABW,BEL,0.0
16,ABW,BEN,0.0
17,ABW,BES,0.0
18,ABW,BFA,0.0
19,ABW,BGD,0.0
20,ABW,BGR,0.0
21,ABW,BHR,0.0
22,ABW,BHS,0.0
23,ABW,BIH,0.0
24,ABW,BLR,0.0
25,ABW,BLZ,0.0
26,ABW,BMU,0.0
27,ABW,BOL,0.0
28,ABW,BRA,0.0
29,ABW,BRB,0.0
30,ABW,BRN,0.0
31,ABW,BTN,0.0
32,ABW,BWA,0.0
33,ABW,CAF,0.0
34,ABW,CAN,0.0
35,ABW,CHE,0.0
36,ABW,CHL,0.0
37,ABW,CHN,0.0
38,ABW,CIV,0.0
39,ABW,CMR,0.0
40,ABW,COD,0.0
41,ABW,COG,0.0
42,ABW,COK,0.0
43,ABW,COL,0.0
44,ABW,COM,0.0
45,ABW,CPV,0.0
46,ABW,CRI,0.0
47,ABW,CUB,0.0
48,ABW,CUW,0.0
49,ABW,CYM,0.0
50,ABW,CYP,0.0
51,ABW,CZE,0.0
52,ABW,DEU,0.0
53,ABW,DJI,0.0
54,ABW,DMA,0.0
55,ABW,DNK,0.0
56,ABW,DOM,0.0
57,ABW,DZA,0.0
58,ABW,ECU,0.0
59,ABW,EGY,0.0
60,ABW,ERI,0.0
61,ABW,ESH,0.0
62,ABW,ESP,0.0
63,ABW,EST,0.0
64,ABW,ETH,0.0
65,ABW,FIN,0.0
66,ABW,FJI,0.0
67,ABW,FLK,0.0
68,ABW,FRA,0.0
69,ABW,FRO,0.0
70,ABW,FSM,0.0
71,ABW,GAB,0.0
72,ABW,GBR,0.0
73,ABW,GEO,0.0
74,ABW,GHA,0.0
75,ABW,GIB,0.0
76,ABW,GIN,0.0
77,ABW,GLP,0.0
78,ABW,GMB,0.0
79,ABW,GNB,0.0
80,ABW,GNQ,0.0
81,ABW,GRC,0.0
82,ABW,GRD,0.0
83,ABW,GRL,0.0
84,ABW,GTM,0.0
85,ABW,GUF,0.0
86,ABW,GUM,0.0
87,ABW,GUY,0.0
88,ABW,HKG,0.0
89,ABW,HND,0.0
90,ABW,HRV,0.0
91,ABW,HTI,0.0
92,ABW,HUN,0.0
93,ABW,IDN,0.0
94,ABW,IMN,0.0
95,ABW,IND,0.0
96,ABW,IRL,0.0
97,ABW,IRN,0.0
98,ABW,IRQ,0.0
99,ABW,ISL,0.0
100,ABW,ISR,0.0
101,ABW,ITA,0.0
102,ABW,JAM,0.0
103,ABW,JOR,0.0
104,ABW,JPN,0.0
105,ABW,KAZ,0.0
106,ABW,KEN,0.0
107,ABW,KGZ,0.0
108,ABW,KHM,0.0
109,ABW,KIR,0.0
110,ABW,KNA,0.0
111,ABW,KOR,0.0
112,ABW,KWT,0.0
113,ABW,LAO,0.0
114,ABW,LBN,0.0
115,ABW,LBR,0.0
116,ABW,LBY,0.0
117,ABW,LCA,0.0
118,ABW,LIE,0.0
119,ABW,LKA,0.0
120,ABW,LSO,0.0
121,ABW,LTU,0.0
122,ABW,LUX,0.0
123,ABW,LVA,0.0
124,ABW,MAC,0.0
125,ABW,MAR,0.0
126,ABW,MCO,0.0
127,ABW,MDA,0.0
128,ABW,MDG,0.0
129,ABW,MDV,0.0
130,ABW,MEX,0.0
131,ABW,MHL,0.0
132,ABW,MKD,0.0
133,ABW,MLI,0.0
134,ABW,MLT,0.0
135,ABW,MMR,0.0
136,ABW,MNE,0.0
137,ABW,MNG,0.0
138,ABW,MNP,0.0
139,ABW,MOZ,0.0
140,ABW,MRT,0.0
141,ABW,MSR,0.0
142,ABW,MTQ,0.0
143,ABW,MUS,0.0
144,ABW,MWI,0.0
145,ABW,MYS,0.0
146,ABW,MYT,0.0
147,ABW,NAM,0.0
148,ABW,NCL,0.0
149,ABW,NER,0.0
150,ABW,NGA,0.0
151,ABW,NIC,0.0
152,ABW,NIU,0.0
153,ABW,NLD,1.0
154,ABW,NOR,0.0
155,ABW,NPL,0.0
156,ABW,NRU,0.0
157,ABW,NZL,0.0
158,ABW,OMN,0.0
159,ABW,PAK,0.0
160,ABW,PAN,0.0
161,ABW,PER,0.0
162,ABW,PHL,0.0
163,ABW,PLW,0.0
164,ABW,PNG,0.0
165,ABW,POL,0.0
166,ABW,PRI,0.0
167,ABW,PRK,0.0
168,ABW,PRT,0.0
169,ABW,PRY,0.0
170,ABW,PSE,0.0
171,ABW,PYF,0.0
172,ABW,QAT,0.0
173,ABW,REU,0.0
174,ABW,ROU,0.0
175,ABW,RUS,0.0
176,ABW,RWA,0.0
177,ABW,SAU,0.0
178,ABW,SDN,0.0
179,ABW,SEN,0.0
180,ABW,SGP,0.0
181,ABW,SHN,0.0
182,ABW,SLB,0.0
183,ABW,SLE,0.0
184,ABW,SLV,0.0
185,ABW,SMR,0.0
186,ABW,SOM,0.0
187,ABW,SPM,0.0
188,ABW,SRB,0.0
189,ABW,SSD,0.0
190,ABW,STP,0.0
191,ABW,SUR,0.0
192,ABW,SVK,0.0
193,ABW,SVN,0.0
194,ABW,SWE,0.0
195,ABW,SWZ,0.0
196,ABW,SXM,0.0
197,ABW,SYC,0.0
198,ABW,SYR,0.0
199,ABW,TCA,0.0
200,ABW,TCD,0.0
201,ABW,TGO,0.0
202,ABW,THA,0.0
203,ABW,TJK,0.0
204,ABW,TKL,0.0
205,ABW,TKM,0.0
206,ABW,TLS,0.0
207,ABW,TON,0.0
208,ABW,TTO,0.0
209,ABW,TUN,0.0
210,ABW,TUR,0.0
211,ABW,TUV,0.0
212,ABW,TWN,0.0
213,ABW,TZA,0.0
214,ABW,UGA,0.0
215,ABW,UKR,0.0
216,ABW,URY,0.0
217,ABW,USA,0.0
218,ABW,UZB,0.0
219,ABW,VCT,0.0
220,ABW,VEN,0.0
221,ABW,VGB,0.0
222,ABW,VIR,0.0
223,ABW,VNM,0.0
224,ABW,VUT,0.0
225,ABW,WLF,0.0
226,ABW,WSM,0.0
227,ABW,YEM,0.0
228,ABW,ZAF,0.0
229,ABW,ZMB,0.0
230,ABW,ZWE,0.0
231,AFG,ABW,0.0
232,AFG,AFG,0.0
233,AFG,AGO,0.0
234,AFG,AIA,0.0
235,AFG,ALB,0.0
236,AFG,AND,0.0
237,AFG,ARE,0.0
238,AFG,ARG,0.0
239,AFG,ARM,0.0
240,AFG,ASM,0.0
241,AFG,ATG,0.0
242,AFG,AUS,0.0
243,AFG,AUT,0.0
244,AFG,AZE,0.0
245,AFG,BDI,0.0
246,AFG,BEL,0.0
247,AFG,BEN,0.0
248,AFG,BES,0.0
249,AFG,BFA,0.0
