,Origin ISO,Destination ISO,distw_harmonic
0,ABW,ABW,0.0
1,ABW,AFG,13192.121212121212
2,ABW,AGO,9582.363636363636
3,ABW,AIA,978.0
4,ABW,ALB,9090.0
5,ABW,AND,7570.0
6,ABW,ARE,12773.09090909091
7,ABW,ARG,5160.515151515152
8,ABW,ARM,11109.0
9,ABW,ASM,11486.0
10,ABW,ATG,1016.0
11,ABW,AUS,15644.09090909091
12,ABW,AUT,8716.0
13,ABW,AZE,11466.064516129032
14,ABW,BDI,11119.0
15,ABW,BEL,7852.272727272727
16,ABW,BEN,7935.242424242424
17,ABW,BES,196.0
18,ABW,BFA,7341.969696969697
19,ABW,BGD,15497.454545454546
20,ABW,BGR,9429.484848484848
21,ABW,BHR,12303.0
22,ABW,BHS,1586.0
23,ABW,BIH,8928.0
24,ABW,BLR,9409.09677419355
25,ABW,BLZ,2082.0
26,ABW,BMU,2254.0
27,ABW,BOL,3318.3939393939395
28,ABW,BRA,4351.69696969697
29,ABW,BRB,1132.0
30,ABW,BRN,17998.0
31,ABW,BTN,15071.0
32,ABW,BWA,11179.0
33,ABW,CAF,9760.0
34,ABW,CAN,4064.969696969697
35,ABW,CHE,8061.818181818182
36,ABW,CHL,5063.69696969697
37,ABW,CHN,14858.060606060606
38,ABW,CIV,7264.878787878788
39,ABW,CMR,8898.181818181818
40,ABW,COD,10112.969696969696
41,ABW,COG,9486.515151515152
42,ABW,COK,10485.0
43,ABW,COL,858.1212121212121
44,ABW,COM,12793.0
45,ABW,CPV,5030.0
46,ABW,CRI,1562.7272727272727
47,ABW,CUB,1540.3939393939395
48,ABW,CUW,128.0
49,ABW,CYM,1426.0
50,ABW,CYP,10404.0
51,ABW,CZE,8595.275862068966
52,ABW,DEU,8236.151515151516
53,ABW,DJI,12184.0
54,ABW,DMA,983.0
55,ABW,DNK,8403.0
56,ABW,DOM,678.4848484848485
57,ABW,DZA,7712.848484848485
58,ABW,ECU,1846.3939393939395
59,ABW,EGY,10360.242424242424
60,ABW,ERI,11623.0
61,ABW,ESH,6117.0
62,ABW,ESP,7246.69696969697
63,ABW,EST,9085.0
64,ABW,ETH,11808.242424242424
65,ABW,FIN,9062.333333333334
66,ABW,FJI,12694.0
67,ABW,FLK,7212.0
68,ABW,FRA,7722.151515151515
69,ABW,FRO,7402.0
70,ABW,FSM,14284.0
71,ABW,GAB,8865.0
72,ABW,GBR,7460.30303030303
73,ABW,GEO,11060.0
