,Year,Country ISO,Net Number of Migrants
0,1990.0,AUS,100000.0
1,1990.0,AUT,60000.0
2,1990.0,BEL,8000.0
3,1990.0,BGR,-117000.0
4,1990.0,CAN,181000.0
5,1990.0,CZE,624.0
6,1990.0,DNK,8332.0
7,1990.0,DEU,680000.0
8,1990.0,EST,-3000.0
9,1990.0,FIN,7081.0
10,1990.0,FRA,80000.0
11,1990.0,ISL,-681.0
12,1990.0,IRL,-8966.666666665082
13,1990.0,ITA,13395.0
14,1990.0,JPN,119919.0
15,1990.0,LVA,-13085.0
16,1990.0,LTU,-8848.0
17,1990.0,NLD,54000.0
18,1990.0,NZL,70000.0
19,1990.0,NOR,2000.0
20,1990.0,POL,-15814.0
21,1990.0,PRT,-35000.0
22,1990.0,SVN,2167.0
23,1990.0,KOR,79000.0
24,1990.0,ESP,-31000.0
25,1990.0,SWE,34759.0
26,1990.0,CHE,58000.0
27,1990.0,TWN,-63000.0
28,1990.0,GBR,57000.0
29,1990.0,USA,1125000.0
30,1991.0,AUS,69000.0
31,1991.0,AUT,77000.0
32,1991.0,BEL,27000.0
33,1991.0,BGR,-119000.0
34,1991.0,CAN,193852.0
35,1991.0,CZE,2876.0
36,1991.0,DNK,10938.0
37,1991.0,DEU,603000.0
38,1991.0,EST,-10000.0
39,1991.0,FIN,13017.0
40,1991.0,FRA,90000.0
41,1991.0,ISL,1007.0
42,1991.0,IRL,4266.666666667379
43,1991.0,ITA,123563.0
44,1991.0,JPN,229521.0
45,1991.0,LVA,-15045.0
46,1991.0,LTU,-10675.0
47,1991.0,NLD,52000.0
48,1991.0,NZL,31000.0
49,1991.0,NOR,8000.0
50,1991.0,POL,-15937.0
51,1991.0,PRT,-32829.0
52,1991.0,SVN,-3071.0
53,1991.0,KOR,-271000.0
54,1991.0,ESP,123000.0
55,1991.0,SWE,24949.0
56,1991.0,CHE,61440.0
57,1991.0,TWN,-12128.0
58,1991.0,GBR,44000.0
59,1991.0,USA,1168000.0
60,1992.0,AUS,41000.0
61,1992.0,AUT,71000.0
62,1992.0,BEL,26000.0
63,1992.0,BGR,-121000.0
64,1992.0,CAN,206619.0
65,1992.0,CZE,11781.0
66,1992.0,DNK,11462.0
67,1992.0,DEU,782000.0
68,1992.0,EST,-38000.0
69,1992.0,FIN,8499.0
70,1992.0,FRA,90000.0
71,1992.0,ISL,-255.0
72,1992.0,IRL,2199.999999999409
73,1992.0,ITA,18149.0
74,1992.0,JPN,158432.0
75,1992.0,LVA,-53474.0
76,1992.0,LTU,-25332.0
77,1992.0,NLD,50000.0
78,1992.0,NZL,6000.0
79,1992.0,NOR,10000.0
80,1992.0,POL,-11603.0
81,1992.0,PRT,-9357.0
82,1992.0,SVN,-387.0
83,1992.0,KOR,-266000.0
84,1992.0,ESP,178000.0
85,1992.0,SWE,19482.0
86,1992.0,CHE,40156.0
87,1992.0,TWN,-21000.0
88,1992.0,GBR,-13000.0
89,1992.0,USA,1197000.0
90,1993.0,AUS,24000.0
91,1993.0,AUT,34000.0
92,1993.0,BEL,19000.0
93,1993.0,BGR,-20000.0
94,1993.0,CAN,200474.0
95,1993.0,CZE,5476.0
96,1993.0,DNK,11056.0
97,1993.0,DEU,462000.0
98,1993.0,EST,-26000.0
99,1993.0,FIN,8390.0
100,1993.0,FRA,70000.0
101,1993.0,ISL,-203.0
102,1993.0,IRL,-3266.6666666669926
103,1993.0,ITA,23598.0
104,1993.0,JPN,34153.0
105,1993.0,LVA,-32333.0
106,1993.0,LTU,-23990.0
107,1993.0,NLD,45000.0
108,1993.0,NZL,13000.0
109,1993.0,NOR,13000.0
110,1993.0,POL,-15505.0
111,1993.0,PRT,11423.0
112,1993.0,SVN,1355.0
113,1993.0,KOR,-223000.0
114,1993.0,ESP,161000.0
115,1993.0,SWE,31764.0
116,1993.0,CHE,39512.0
117,1993.0,TWN,-37000.0
118,1993.0,GBR,-1000.0
119,1993.0,USA,1218000.0
120,1994.0,AUS,52000.0
121,1994.0,AUT,3000.0
122,1994.0,BEL,18000.0
123,1994.0,BGR,-21000.0
124,1994.0,CAN,174914.0
125,1994.0,CZE,9942.0
126,1994.0,DNK,10251.0
127,1994.0,DEU,315000.0
128,1994.0,EST,-18000.0
129,1994.0,FIN,2939.0
130,1994.0,FRA,50000.0
131,1994.0,ISL,-760.0
132,1994.0,IRL,-2833.333333333121
133,1994.0,ITA,22864.0
134,1994.0,JPN,21020.0
135,1994.0,LVA,-22823.0
136,1994.0,LTU,-24195.0
137,1994.0,NLD,20000.0
138,1994.0,NZL,20000.0
139,1994.0,NOR,8000.0
140,1994.0,POL,-19000.0
141,1994.0,PRT,24273.0
142,1994.0,SVN,936.0
143,1994.0,KOR,-208000.0
144,1994.0,ESP,160000.0
145,1994.0,SWE,50581.0
146,1994.0,CHE,30883.0
147,1994.0,TWN,-39000.0
148,1994.0,GBR,77000.0
149,1994.0,USA,1191000.0
150,1995.0,AUS,80000.0
151,1995.0,AUT,2000.0
152,1995.0,BEL,2000.0
153,1995.0,BGR,-22000.0
154,1995.0,CAN,167842.0
155,1995.0,CZE,9999.0
156,1995.0,DNK,28557.0
157,1995.0,DEU,398000.0
158,1995.0,EST,-13000.0
159,1995.0,FIN,3265.0
160,1995.0,FRA,40000.0
161,1995.0,ISL,-1418.0
162,1995.0,IRL,4700.00000000075
163,1995.0,ITA,28928.0
164,1995.0,JPN,-3874.0
165,1995.0,LVA,-13713.0
166,1995.0,LTU,-23668.0
167,1995.0,NLD,15000.0
168,1995.0,NZL,27000.0
169,1995.0,NOR,6000.0
170,1995.0,POL,-18223.0
171,1995.0,PRT,31412.0
172,1995.0,SVN,2507.0
173,1995.0,KOR,-208000.0
174,1995.0,ESP,162000.0
175,1995.0,SWE,11432.0
176,1995.0,CHE,14458.0
177,1995.0,TWN,-38000.0
178,1995.0,GBR,76000.0
179,1995.0,USA,1137000.0
180,1996.0,AUS,83000.0
181,1996.0,AUT,4000.0
182,1996.0,BEL,16000.0
183,1996.0,BGR,-22000.0
184,1996.0,CAN,166903.0
185,1996.0,CZE,10129.0
186,1996.0,DNK,17133.0
187,1996.0,DEU,282000.0
188,1996.0,EST,-11000.0
189,1996.0,FIN,2707.0
190,1996.0,FRA,35000.0
191,1996.0,ISL,-446.0
192,1996.0,IRL,15466.666666667516
193,1996.0,ITA,53183.0
194,1996.0,JPN,-886.0
195,1996.0,LVA,-10081.0
196,1996.0,LTU,-23369.0
197,1996.0,NLD,22000.0
198,1996.0,NZL,25000.0
199,1996.0,NOR,6000.0
200,1996.0,POL,-13111.0
201,1996.0,PRT,37123.0
202,1996.0,SVN,6510.0
203,1996.0,KOR,-116000.0
204,1996.0,ESP,163000.0
205,1996.0,SWE,5609.0
206,1996.0,CHE,-5807.0
207,1996.0,TWN,-36000.0
208,1996.0,GBR,55000.0
209,1996.0,USA,1144000.0
210,1997.0,AUS,68000.0
211,1997.0,AUT,2000.0
212,1997.0,BEL,10000.0
213,1997.0,BGR,-23000.0
214,1997.0,CAN,150592.5
215,1997.0,CZE,12075.0
216,1997.0,DNK,11712.0
217,1997.0,DEU,94000.0
218,1997.0,EST,-4000.0
219,1997.0,FIN,3710.0
220,1997.0,FRA,40000.0
221,1997.0,ISL,69.0
222,1997.0,IRL,17999.99999999986
223,1997.0,ITA,52646.0
224,1997.0,JPN,115547.0
225,1997.0,LVA,-9420.0
226,1997.0,LTU,-22421.0
227,1997.0,NLD,31000.0
228,1997.0,NZL,12000.0
229,1997.0,NOR,10000.0
230,1997.0,POL,-11796.0
231,1997.0,PRT,41407.0
232,1997.0,SVN,2442.0
233,1997.0,KOR,-109000.0
234,1997.0,ESP,165000.0
235,1997.0,SWE,5913.0
236,1997.0,CHE,-6834.0
237,1997.0,TWN,-22000.0
238,1997.0,GBR,48000.0
239,1997.0,USA,1118000.0
240,1998.0,AUS,81000.0
241,1998.0,AUT,9000.0
242,1998.0,BEL,13000.0
243,1998.0,BGR,-23000.0
244,1998.0,CAN,126430.5
245,1998.0,CZE,9488.0
246,1998.0,DNK,11032.0
247,1998.0,DEU,47000.0
248,1998.0,EST,-3000.0
249,1998.0,FIN,3375.0
250,1998.0,FRA,45000.0
251,1998.0,ISL,880.0
252,1998.0,IRL,17333.333333333325
253,1998.0,ITA,48798.0
254,1998.0,JPN,117707.0
255,1998.0,LVA,-5751.0
256,1998.0,LTU,-22122.0
257,1998.0,NLD,52000.0
258,1998.0,NZL,-1000.0
259,1998.0,NOR,14000.0
260,1998.0,POL,-13261.0
261,1998.0,PRT,45690.0
262,1998.0,SVN,-2105.0
263,1998.0,KOR,-98000.0
264,1998.0,ESP,183000.0
265,1998.0,SWE,10456.0
266,1998.0,CHE,1177.0
267,1998.0,TWN,-10000.0
268,1998.0,GBR,140000.0
269,1998.0,USA,1103000.0
270,1999.0,AUS,93000.0
271,1999.0,AUT,20000.0
272,1999.0,BEL,17000.0
273,1999.0,BGR,-24000.0
274,1999.0,CAN,133423.5
275,1999.0,CZE,8774.0
276,1999.0,DNK,8896.0
277,1999.0,DEU,202000.0
278,1999.0,EST,1000.0
279,1999.0,FIN,2778.0
280,1999.0,FRA,60000.0
281,1999.0,ISL,1122.0
282,1999.0,IRL,23100.00000000066
283,1999.0,ITA,48529.0
284,1999.0,JPN,137967.0
285,1999.0,LVA,-4085.0
286,1999.0,LTU,-20739.0
287,1999.0,NLD,47000.0
288,1999.0,NZL,-8000.0
289,1999.0,NOR,18999.0
290,1999.0,POL,-14011.0
291,1999.0,PRT,54257.0
292,1999.0,SVN,2335.0
293,1999.0,KOR,-107000.0
294,1999.0,ESP,179000.0
295,1999.0,SWE,13725.0
296,1999.0,CHE,16149.0
297,1999.0,TWN,4000.0
298,1999.0,GBR,163000.0
299,1999.0,USA,1133000.0
300,2000.0,AUS,111000.0
301,2000.0,AUT,18000.0
302,2000.0,BEL,13564.0
303,2000.0,BGR,-26000.0
304,2000.0,CAN,173422.5
305,2000.0,CZE,6539.0
306,2000.0,DNK,9498.0
307,2000.0,DEU,167000.0
308,2000.0,EST,-1749.0
309,2000.0,FIN,2584.0
310,2000.0,FRA,70000.0
311,2000.0,ISL,1714.0
312,2000.0,IRL,30533.33333333385
313,2000.0,ITA,54370.0
314,2000.0,JPN,-39426.0
315,2000.0,LVA,-16428.0
316,2000.0,LTU,-20306.0
317,2000.0,NLD,59000.0
318,2000.0,NZL,-7000.0
319,2000.0,NOR,9688.0
320,2000.0,POL,-19668.0
321,2000.0,PRT,67108.0
322,2000.0,SVN,2615.0
323,2000.0,KOR,8000.0
324,2000.0,ESP,176000.0
325,2000.0,SWE,24085.0
326,2000.0,CHE,20224.0
327,2000.0,TWN,-46000.0
328,2000.0,GBR,158000.0
329,2000.0,USA,1251000.0
330,2001.0,AUS,118000.0
331,2001.0,AUT,40000.0
332,2001.0,BEL,35300.0
333,2001.0,BGR,-31000.0
334,2001.0,CAN,200766.5
335,2001.0,CZE,-8551.0
336,2001.0,DNK,12004.0
337,2001.0,DEU,273000.0
338,2001.0,EST,-1934.0
339,2001.0,FIN,5802.0
340,2001.0,FRA,85000.0
341,2001.0,ISL,968.0
342,2001.0,IRL,38466.66666666731
343,2001.0,ITA,40000.0
344,2001.0,JPN,154513.0
345,2001.0,LVA,-19163.0
346,2001.0,LTU,-23147.0
347,2001.0,NLD,56000.0
348,2001.0,NZL,18000.0
349,2001.0,NOR,7955.0
350,2001.0,POL,-16743.0
351,2001.0,PRT,56213.0
352,2001.0,SVN,2992.0
353,2001.0,KOR,-32000.0
354,2001.0,ESP,181000.0
355,2001.0,SWE,28268.0
356,2001.0,CHE,41843.0
357,2001.0,TWN,-3811.0
358,2001.0,GBR,179000.0
359,2001.0,USA,1112508.0
360,2002.0,AUS,109000.0
361,2002.0,AUT,33294.0
362,2002.0,BEL,38421.0
363,2002.0,BGR,-13000.0
364,2002.0,CAN,175701.5
365,2002.0,CZE,12290.0
366,2002.0,DNK,9297.0
367,2002.0,DEU,219000.0
368,2002.0,EST,-1463.0
369,2002.0,FIN,5221.0
370,2002.0,FRA,95000.0
371,2002.0,ISL,-275.0
372,2002.0,IRL,34233.33333333253
373,2002.0,ITA,162194.0
374,2002.0,JPN,-28290.0
375,2002.0,LVA,-9195.0
376,2002.0,LTU,-11609.0
377,2002.0,NLD,29000.0
378,2002.0,NZL,53340.0
379,2002.0,NOR,17174.0
380,2002.0,POL,-17945.0
381,2002.0,PRT,41798.0
382,2002.0,SVN,1865.0
383,2002.0,KOR,-16000.0
384,2002.0,ESP,738000.0
385,2002.0,SWE,30788.0
386,2002.0,CHE,48921.0
387,2002.0,TWN,1000.0
388,2002.0,GBR,172000.0
389,2002.0,USA,923312.0
390,2003.0,AUS,104000.0
391,2003.0,AUT,39873.0
392,2003.0,BEL,33030.0
393,2003.0,BGR,-13000.0
394,2003.0,CAN,165388.0
