,Year,Country ISO,Net Number of Migrants
0,1950.0,ABW,0.0
1,1950.0,AFG,6000.0
2,1950.0,AGO,-25000.0
3,1950.0,AIA,0.0
4,1950.0,ALB,7000.0
5,1950.0,AND,0.0
6,1950.0,ARE,3000.0
7,1950.0,ARG,60000.0
8,1950.0,ARM,9000.0
9,1950.0,ASM,-0.0
10,1950.0,ATG,-0.0
11,1950.0,AUS,145000.0
12,1950.0,AUT,-24000.0
13,1950.0,AZE,-0.0
14,1950.0,BDI,-13000.0
15,1950.0,BEL,5000.0
16,1950.0,BEN,-5000.0
17,1950.0,BES,-0.0
18,1950.0,BFA,-18000.0
19,1950.0,BGD,8000.0
20,1950.0,BGR,-1000.0
21,1950.0,BHR,1000.0
22,1950.0,BHS,-1000.0
23,1950.0,BIH,-11000.0
24,1950.0,BLM,0.0
25,1950.0,BLR,1000.0
26,1950.0,BLZ,-1000.0
27,1950.0,BMU,-0.0
28,1950.0,BOL,-7000.0
29,1950.0,BRA,10000.0
30,1950.0,BRB,-0.0
31,1950.0,BRN,1000.0
32,1950.0,BTN,1000.0
33,1950.0,BWA,-1000.0
34,1950.0,CAF,0.0
35,1950.0,CAN,60000.0
36,1950.0,CHE,12000.0
37,1950.0,CHL,-25000.0
38,1950.0,CHN,-21000.0
39,1950.0,CIV,17000.0
40,1950.0,CMR,0.0
41,1950.0,COD,4000.0
42,1950.0,COG,0.0
43,1950.0,COK,0.0
44,1950.0,COL,-35000.0
45,1950.0,COM,1000.0
46,1950.0,CPV,-3000.0
47,1950.0,CRI,0.0
48,1950.0,CUB,-6000.0
49,1950.0,CUW,0.0
50,1950.0,CYM,-0.0
51,1950.0,CYP,-0.0
52,1950.0,CZE,-5000.0
53,1950.0,DEU,-628000.0
54,1950.0,DJI,1000.0
55,1950.0,DMA,-0.0
56,1950.0,DNK,-6000.0
57,1950.0,DOM,-6000.0
58,1950.0,DZA,-1000.0
59,1950.0,ECU,0.0
60,1950.0,EGY,-28000.0
61,1950.0,ERI,0.0
62,1950.0,ESH,1000.0
63,1950.0,ESP,-130000.0
64,1950.0,EST,8000.0
65,1950.0,ETH,6000.0
66,1950.0,FIN,-12000.0
67,1950.0,FJI,-1000.0
68,1950.0,FLK,-0.0
69,1950.0,FRA,131000.0
70,1950.0,FRO,-0.0
71,1950.0,FSM,0.0
72,1950.0,GAB,0.0
73,1950.0,GBR,152000.0
74,1950.0,GEO,10000.0
75,1950.0,GGY,1000.0
76,1950.0,GHA,14000.0
77,1950.0,GIB,-1000.0
78,1950.0,GIN,0.0
79,1950.0,GLP,-3000.0
80,1950.0,GMB,2000.0
81,1950.0,GNB,-2000.0
82,1950.0,GNQ,0.0
83,1950.0,GRC,-22000.0
84,1950.0,GRD,-1000.0
85,1950.0,GRL,0.0
86,1950.0,GTM,1000.0
87,1950.0,GUF,0.0
88,1950.0,GUM,-1000.0
89,1950.0,GUY,0.0
90,1950.0,HKG,31000.0
91,1950.0,HND,-0.0
92,1950.0,HRV,0.0
93,1950.0,HTI,-15000.0
94,1950.0,HUN,1000.0
95,1950.0,IDN,89000.0
96,1950.0,IMN,0.0
97,1950.0,IND,-63000.0
98,1950.0,IRL,-1000.0
99,1950.0,IRN,39000.0
100,1950.0,IRQ,3000.0
101,1950.0,ISL,0.0
102,1950.0,ISR,22000.0
103,1950.0,ITA,-28000.0
104,1950.0,JAM,14000.0
105,1950.0,JEY,1000.0
106,1950.0,JOR,21000.0
107,1950.0,JPN,-25000.0
108,1950.0,KAZ,93000.0
109,1950.0,KEN,6000.0
110,1950.0,KGZ,6000.0
111,1950.0,KHM,2000.0
112,1950.0,KIR,0.0
113,1950.0,KNA,-1000.0
114,1950.0,KOR,147000.0
115,1950.0,KWT,0.0
116,1950.0,LAO,0.0
117,1950.0,LBN,0.0
118,1950.0,LBR,-1000.0
119,1950.0,LBY,-6000.0
120,1950.0,LCA,-2000.0
121,1950.0,LIE,0.0
122,1950.0,LKA,8000.0
123,1950.0,LSO,-1000.0
124,1950.0,LTU,0.0
125,1950.0,LUX,1000.0
126,1950.0,LVA,6000.0
127,1950.0,MAC,-1000.0
128,1950.0,MAF,0.0
129,1950.0,MAR,5000.0
130,1950.0,MCO,1000.0
131,1950.0,MDA,1000.0
132,1950.0,MDG,0.0
133,1950.0,MDV,0.0
134,1950.0,MEX,-49000.0
135,1950.0,MHL,-0.0
136,1950.0,MKD,0.0
137,1950.0,MLI,-4000.0
138,1950.0,MLT,2000.0
139,1950.0,MMR,5000.0
140,1950.0,MNE,1000.0
141,1950.0,MNG,0.0
142,1950.0,MNP,-0.0
143,1950.0,MOZ,-56000.0
144,1950.0,MRT,-0.0
145,1950.0,MSR,-0.0
146,1950.0,MTQ,0.0
147,1950.0,MUS,1000.0
148,1950.0,MWI,0.0
149,1950.0,MYS,7000.0
150,1950.0,MYT,-0.0
151,1950.0,NAM,-4000.0
152,1950.0,NCL,0.0
153,1950.0,NER,7000.0
154,1950.0,NGA,21000.0
155,1950.0,NIC,-2000.0
156,1950.0,NIU,-0.0
157,1950.0,NLD,19000.0
158,1950.0,NOR,-3000.0
159,1950.0,NPL,4000.0
160,1950.0,NRU,0.0
161,1950.0,NZL,6000.0
162,1950.0,OMN,-2000.0
163,1950.0,PAK,50000.0
164,1950.0,PAN,-3000.0
165,1950.0,PER,-0.0
166,1950.0,PHL,82000.0
167,1950.0,PLW,-0.0
168,1950.0,PNG,-5000.0
169,1950.0,POL,-19000.0
170,1950.0,PRI,-45000.0
171,1950.0,PRK,-191000.0
172,1950.0,PRT,-36000.0
173,1950.0,PRY,-16000.0
174,1950.0,PSE,-18000.0
175,1950.0,PYF,-0.0
176,1950.0,QAT,0.0
